"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36"
"736",0,81,15,100,20,76,19,52,24,28,71,21,88,23,100,0,4,2,0,81,15,100,20,76,19,52,24,28,71,21,88,23,100,0,4,2
"737",14,91,7,55,36,17,4,0,0,51,4,98,52,100,100,97,5,7,14,91,7,55,36,17,4,0,0,51,4,98,52,100,100,97,5,7
"738",0,79,32,100,69,93,54,58,25,29,4,5,52,0,100,2,2,2,0,79,32,100,69,93,54,58,25,29,4,5,52,0,100,2,2,2
"739",61,96,0,83,61,66,100,30,49,0,5,30,39,68,42,100,8,8,61,96,0,83,61,66,100,30,49,0,5,30,39,68,42,100,8,8
"740",0,34,25,52,62,76,100,100,81,79,57,53,37,27,25,0,1,3,0,34,25,52,62,76,100,100,81,79,57,53,37,27,25,0,1,3
"741",26,100,38,78,66,38,45,0,15,33,0,77,34,97,100,100,5,7,26,100,38,78,66,38,45,0,15,33,0,77,34,97,100,100,5,7
"742",30,100,90,99,81,100,32,78,52,57,100,31,58,0,0,17,5,9,30,100,90,99,81,100,32,78,52,57,100,31,58,0,0,17,5,9
"743",17,100,17,69,60,36,30,0,0,20,0,73,41,91,100,92,5,7,17,100,17,69,60,36,30,0,0,20,0,73,41,91,100,92,5,7
"744",0,100,53,100,100,88,84,56,61,24,42,0,18,31,56,46,7,2,0,100,53,100,100,88,84,56,61,24,42,0,18,31,56,46,7,2
"745",31,78,71,100,73,99,56,63,50,26,21,0,0,0,100,3,1,2,31,78,71,100,73,99,56,63,50,26,21,0,0,0,100,3,1,2
"746",55,70,73,100,62,66,49,26,30,0,0,2,50,3,100,6,1,2,55,70,73,100,62,66,49,26,30,0,0,2,50,3,100,6,1,2
"747",32,89,67,100,100,93,79,71,66,47,68,22,40,6,0,0,3,9,32,89,67,100,100,93,79,71,66,47,68,22,40,6,0,0,3,9
"748",30,100,0,78,56,82,44,78,75,51,100,22,72,0,15,7,9,9,30,100,0,78,56,82,44,78,75,51,100,22,72,0,15,7,9,9
"749",0,90,31,100,46,72,27,42,2,17,29,4,64,2,100,0,2,2,0,90,31,100,46,72,27,42,2,17,29,4,64,2,100,0,2,2
"750",25,91,61,100,74,75,44,55,94,43,100,16,53,0,0,6,3,9,25,91,61,100,74,75,44,55,94,43,100,16,53,0,0,6,3,9
"751",33,89,92,100,100,91,63,62,29,31,0,0,6,29,66,38,7,2,33,89,92,100,100,91,63,62,29,31,0,0,6,29,66,38,7,2
"752",47,69,42,100,6,75,54,39,47,0,0,21,42,58,100,90,8,8,47,69,42,100,6,75,54,39,47,0,0,21,42,58,100,90,8,8
"753",20,85,3,55,0,17,38,0,79,23,100,58,83,92,35,100,0,5,20,85,3,55,0,17,38,0,79,23,100,58,83,92,35,100,0,5
"754",73,96,50,70,38,24,0,0,29,41,70,77,100,100,46,78,8,1,73,96,50,70,38,24,0,0,29,41,70,77,100,100,46,78,8,1
"755",0,76,53,85,100,100,76,81,60,61,44,40,27,20,5,0,1,3,0,76,53,85,100,100,76,81,60,61,44,40,27,20,5,0,1,3
"756",28,94,96,100,83,94,22,76,50,64,100,41,66,9,0,0,5,9,28,94,96,100,83,94,22,76,50,64,100,41,66,9,0,0,5,9
"757",13,94,10,63,73,46,65,0,0,8,3,57,31,100,100,99,5,7,13,94,10,63,73,46,65,0,0,8,3,57,31,100,100,99,5,7
"758",61,77,78,100,94,76,77,43,47,15,0,1,47,0,100,4,2,2,61,77,78,100,94,76,77,43,47,15,0,1,47,0,100,4,2,2
"759",99,97,47,100,8,74,0,41,28,11,85,0,100,22,38,24,6,4,99,97,47,100,8,74,0,41,28,11,85,0,100,22,38,24,6,4
"760",33,69,57,100,87,75,66,39,24,15,0,15,51,14,100,0,2,2,33,69,57,100,87,75,66,39,24,15,0,15,51,14,100,0,2,2
"761",100,92,18,81,46,39,62,0,1,13,43,56,74,100,0,75,8,1,100,92,18,81,46,39,62,0,1,13,43,56,74,100,0,75,8,1
"762",42,98,89,100,73,72,59,52,100,32,88,3,41,0,0,19,3,9,42,98,89,100,73,72,59,52,100,32,88,3,41,0,0,19,3,9
"763",100,100,59,82,31,56,17,27,35,0,83,0,49,16,0,8,6,4,100,100,59,82,31,56,17,27,35,0,83,0,49,16,0,8,6,4
"764",0,73,30,100,68,87,56,51,25,22,2,2,51,4,100,0,2,2,0,73,30,100,68,87,56,51,25,22,2,2,51,4,100,0,2,2
"765",50,100,5,82,71,42,91,0,7,18,78,56,100,92,0,90,8,1,50,100,5,82,71,42,91,0,7,18,78,56,100,92,0,90,8,1
"766",86,88,33,65,0,87,58,100,87,67,100,31,93,0,19,7,9,6,86,88,33,65,0,87,58,100,87,67,100,31,93,0,19,7,9,6
"767",9,100,19,75,0,35,46,35,100,34,74,67,77,27,83,0,4,6,9,100,19,75,0,35,46,35,100,34,74,67,77,27,83,0,4,6
"768",0,64,46,77,81,100,100,99,96,72,88,45,74,19,85,0,1,3,0,64,46,77,81,100,100,99,96,72,88,45,74,19,85,0,1,3
"769",0,92,68,100,89,81,74,40,61,0,35,13,20,42,100,50,7,2,0,92,68,100,89,81,74,40,61,0,35,13,20,42,100,50,7,2
"770",0,87,32,100,67,84,48,50,16,23,16,2,58,3,100,0,2,2,0,87,32,100,67,84,48,50,16,23,16,2,58,3,100,0,2,2
"771",34,76,0,41,8,0,65,11,100,47,99,90,42,100,7,67,0,10,34,76,0,41,8,0,65,11,100,47,99,90,42,100,7,67,0,10
"772",46,94,13,69,0,28,32,0,77,7,100,44,85,83,43,100,0,5,46,94,13,69,0,28,32,0,77,7,100,44,85,83,43,100,0,5
"773",100,100,58,85,23,59,0,30,9,0,58,5,60,34,7,25,6,4,100,100,58,85,23,59,0,30,9,0,58,5,60,34,7,25,6,4
"774",100,75,47,100,0,79,49,41,66,0,3,25,27,66,98,91,8,8,100,75,47,100,0,79,49,41,66,0,3,25,27,66,98,91,8,8
"775",97,81,52,100,0,87,21,60,76,70,100,47,74,12,23,0,9,6,97,81,52,100,0,87,21,60,76,70,100,47,74,12,23,0,9,6
"776",0,35,39,53,72,75,100,100,83,80,61,54,41,27,24,0,1,3,0,35,39,53,72,75,100,100,83,80,61,54,41,27,24,0,1,3
"777",100,98,58,100,29,81,55,55,87,32,81,4,39,0,0,1,5,9,100,98,58,100,29,81,55,55,87,32,81,4,39,0,0,1,5,9
"778",0,91,26,57,52,22,8,0,4,39,4,81,41,100,100,98,5,7,0,91,26,57,52,22,8,0,4,39,4,81,41,100,100,98,5,7
"779",77,72,51,100,0,77,61,42,94,0,22,2,33,45,100,76,8,8,77,72,51,100,0,77,61,42,94,0,22,2,33,45,100,76,8,8
"780",27,73,42,100,62,66,41,30,0,13,38,10,82,0,100,34,2,2,27,73,42,100,62,66,41,30,0,13,38,10,82,0,100,34,2,2
"781",38,73,84,41,100,0,53,7,73,49,98,90,54,100,0,75,8,1,38,73,84,41,100,0,53,7,73,49,98,90,54,100,0,75,8,1
"782",0,52,56,73,100,100,91,85,88,51,89,16,42,0,93,6,1,3,0,52,56,73,100,100,91,85,88,51,89,16,42,0,93,6,1,3
"783",0,23,63,46,100,87,50,100,34,57,86,23,57,0,9,22,8,3,0,23,63,46,100,87,50,100,34,57,86,23,57,0,9,22,8,3
"784",83,85,57,77,60,83,65,100,72,55,87,10,0,0,100,2,1,9,83,85,57,77,60,83,65,100,72,55,87,10,0,0,100,2,1,9
"785",40,94,22,95,0,45,23,0,83,10,100,58,61,100,19,75,0,5,40,94,22,95,0,45,23,0,83,10,100,58,61,100,19,75,0,5
"786",100,100,56,81,33,51,26,18,63,0,93,25,47,38,0,20,6,4,100,100,56,81,33,51,26,18,63,0,93,25,47,38,0,20,6,4
"787",50,100,63,87,26,62,0,36,59,31,100,54,80,27,76,0,4,6,50,100,63,87,26,62,0,36,59,31,100,54,80,27,76,0,4,6
"788",15,90,59,100,71,74,50,55,99,42,100,13,53,0,0,10,3,9,15,90,59,100,71,74,50,55,99,42,100,13,53,0,0,10,3,9
"789",100,91,63,100,18,89,5,53,42,50,77,32,47,4,0,0,5,4,100,91,63,100,18,89,5,53,42,50,77,32,47,4,0,0,5,4
"790",0,97,41,100,68,77,64,38,51,0,28,34,56,40,100,37,7,2,0,97,41,100,68,77,64,38,51,0,28,34,56,40,100,37,7,2
"791",78,100,43,76,10,47,0,16,57,0,100,24,51,44,9,23,6,4,78,100,43,76,10,47,0,16,57,0,100,24,51,44,9,23,6,4
"792",0,89,61,100,90,74,69,37,42,2,27,0,35,30,100,38,7,2,0,89,61,100,90,74,69,37,42,2,27,0,35,30,100,38,7,2
"793",0,66,44,83,92,100,100,85,81,64,61,42,40,21,22,0,1,3,0,66,44,83,92,100,100,85,81,64,61,42,40,21,22,0,1,3
"794",0,61,36,82,78,100,100,95,76,71,49,47,24,23,22,0,1,3,0,61,36,82,78,100,100,95,76,71,49,47,24,23,22,0,1,3
"795",75,86,100,100,95,78,65,57,90,36,81,10,42,0,0,0,3,9,75,86,100,100,95,78,65,57,90,36,81,10,42,0,0,0,3,9
"796",0,92,33,100,97,83,82,41,59,0,100,9,82,37,7,45,7,9,0,92,33,100,97,83,82,41,59,0,100,9,82,37,7,45,7,9
"797",58,83,85,100,93,77,50,57,94,40,100,11,50,0,0,11,3,9,58,83,85,100,93,77,50,57,94,40,100,11,50,0,0,11,3,9
"798",9,78,39,100,86,87,51,58,79,50,100,19,54,0,0,11,3,9,9,78,39,100,86,87,51,58,79,50,100,19,54,0,0,11,3,9
"799",18,92,66,100,93,81,49,56,0,35,14,16,75,10,100,0,2,2,18,92,66,100,93,81,49,56,0,35,14,16,75,10,100,0,2,2
"800",63,93,36,100,30,74,58,85,80,53,100,20,60,0,0,8,9,9,63,93,36,100,30,74,58,85,80,53,100,20,60,0,0,8,9,9
"801",91,98,48,100,12,60,0,15,55,0,100,27,39,38,5,5,6,4,91,98,48,100,12,60,0,15,55,0,100,27,39,38,5,5,6,4
"802",3,79,36,59,88,39,66,0,15,14,0,55,27,89,100,100,5,7,3,79,36,59,88,39,66,0,15,14,0,55,27,89,100,100,5,7
"803",28,6,64,48,100,91,53,100,22,59,80,31,66,0,0,2,8,9,28,6,64,48,100,91,53,100,22,59,80,31,66,0,0,2,8,9
"804",25,89,65,55,100,21,20,0,0,30,55,62,94,95,22,100,8,1,25,89,65,55,100,21,20,0,0,30,55,62,94,95,22,100,8,1
"805",38,96,6,60,0,19,47,0,99,25,100,65,71,100,17,85,0,5,38,96,6,60,0,19,47,0,99,25,100,65,71,100,17,85,0,5
"806",100,97,48,100,12,80,9,42,51,53,80,28,49,0,0,5,5,4,100,97,48,100,12,80,9,42,51,53,80,28,49,0,0,5,5,4
"807",0,32,34,50,63,76,94,100,100,84,86,55,73,27,70,0,1,3,0,32,34,50,63,76,94,100,100,84,86,55,73,27,70,0,1,3
"808",54,92,5,69,51,52,50,3,0,0,12,43,45,86,100,100,5,7,54,92,5,69,51,52,50,3,0,0,12,43,45,86,100,100,5,7
"809",43,82,85,44,100,3,17,0,0,34,62,64,90,100,7,95,8,1,43,82,85,44,100,3,17,0,0,34,62,64,90,100,7,95,8,1
"810",50,60,47,100,92,95,88,47,48,15,0,0,49,5,100,3,2,2,50,60,47,100,92,95,88,47,48,15,0,0,49,5,100,3,2,2
"811",69,100,43,92,15,58,5,21,50,0,100,20,48,34,0,15,6,4,69,100,43,92,15,58,5,21,50,0,100,20,48,34,0,15,6,4
"812",38,70,51,100,37,72,38,38,28,5,0,0,50,4,100,10,1,2,38,70,51,100,37,72,38,38,28,5,0,0,50,4,100,10,1,2
"813",44,100,65,100,54,62,30,32,0,10,29,7,64,1,100,0,2,2,44,100,65,100,54,62,30,32,0,10,29,7,64,1,100,0,2,2
"814",80,88,43,100,9,70,0,31,28,0,78,11,100,46,90,85,0,8,80,88,43,100,9,70,0,31,28,0,78,11,100,46,90,85,0,8
"815",11,72,39,100,62,77,50,42,24,12,0,0,50,3,100,3,2,2,11,72,39,100,62,77,50,42,24,12,0,0,50,3,100,3,2,2
"816",48,80,50,100,100,99,78,69,76,49,91,18,45,0,0,9,3,9,48,80,50,100,100,99,78,69,76,49,91,18,45,0,0,9,3,9
"817",45,87,41,100,89,96,54,65,68,55,100,26,60,0,0,3,3,9,45,87,41,100,89,96,54,65,68,55,100,26,60,0,0,3,3,9
"818",10,100,4,67,11,70,2,80,19,33,0,0,21,8,100,12,1,2,10,100,4,67,11,70,2,80,19,33,0,0,21,8,100,12,1,2
"819",0,55,53,77,100,100,87,95,87,71,87,47,87,23,80,0,1,3,0,55,53,77,100,100,87,95,87,71,87,47,87,23,80,0,1,3
"820",55,76,70,100,95,78,72,50,40,25,0,3,40,0,100,2,2,2,55,76,70,100,95,78,72,50,40,25,0,3,40,0,100,2,2,2
"821",42,100,7,72,0,41,54,38,100,44,73,73,56,36,39,0,4,6,42,100,7,72,0,41,54,38,100,44,73,73,56,36,39,0,4,6
"822",9,98,16,100,0,55,65,40,100,58,80,89,52,46,33,0,4,6,9,98,16,100,0,55,65,40,100,58,80,89,52,46,33,0,4,6
"823",25,100,0,69,1,20,43,0,87,16,100,61,72,100,29,96,0,5,25,100,0,69,1,20,43,0,87,16,100,61,72,100,29,96,0,5
"824",0,63,23,100,56,78,48,34,19,0,11,13,55,23,100,11,2,2,0,63,23,100,56,78,48,34,19,0,11,13,55,23,100,11,2,2
"825",0,61,33,71,66,86,100,100,94,77,79,52,66,26,62,0,1,3,0,61,33,71,66,86,100,100,94,77,79,52,66,26,62,0,1,3
"826",51,69,74,37,100,0,52,4,41,41,73,75,60,100,0,83,8,1,51,69,74,37,100,0,52,4,41,41,73,75,60,100,0,83,8,1
"827",97,100,63,90,30,56,11,20,48,0,100,22,39,27,0,4,6,4,97,100,63,90,30,56,11,20,48,0,100,22,39,27,0,4,6,4
"828",17,100,8,53,61,47,42,0,3,17,0,80,44,96,100,94,5,7,17,100,8,53,61,47,42,0,3,17,0,80,44,96,100,94,5,7
"829",37,71,79,71,49,100,0,45,25,36,66,0,100,51,10,26,8,4,37,71,79,71,49,100,0,45,25,36,66,0,100,51,10,26,8,4
"830",10,76,39,100,88,87,55,62,100,43,98,13,43,0,0,8,3,9,10,76,39,100,88,87,55,62,100,43,98,13,43,0,0,8,3,9
"831",33,100,21,78,0,53,4,28,77,36,90,51,88,25,100,0,4,6,33,100,21,78,0,53,4,28,77,36,90,51,88,25,100,0,4,6
"832",53,91,100,100,86,100,28,86,58,64,98,32,60,0,0,1,5,9,53,91,100,100,86,100,28,86,58,64,98,32,60,0,0,1,5,9
"833",0,55,41,82,72,100,66,65,63,29,31,0,33,4,100,5,1,2,0,55,41,82,72,100,66,65,63,29,31,0,33,4,100,5,1,2
"834",32,94,23,68,60,34,33,0,0,26,17,69,41,98,100,100,5,7,32,94,23,68,60,34,33,0,0,26,17,69,41,98,100,100,5,7
"835",0,100,51,85,100,74,63,37,26,0,15,12,38,31,100,37,7,2,0,100,51,85,100,74,63,37,26,0,15,12,38,31,100,37,7,2
"836",82,90,39,100,25,64,75,80,100,83,91,43,58,9,0,0,9,9,82,90,39,100,25,64,75,80,100,83,91,43,58,9,0,0,9,9
"837",3,87,50,100,100,100,78,76,76,52,90,30,47,13,0,0,3,9,3,87,50,100,100,100,78,76,76,52,90,30,47,13,0,0,3,9
"838",81,100,50,79,23,52,17,22,70,15,100,31,44,19,0,0,6,4,81,100,50,79,23,52,17,22,70,15,100,31,44,19,0,0,6,4
"839",14,73,52,100,66,98,50,55,35,12,0,7,50,3,100,0,1,2,14,73,52,100,66,98,50,55,35,12,0,7,50,3,100,0,1,2
"840",7,94,17,51,94,47,66,0,9,3,0,56,18,97,100,100,5,7,7,94,17,51,94,47,66,0,9,3,0,56,18,97,100,100,5,7
"841",100,97,58,100,21,70,0,34,21,0,71,1,57,28,11,14,6,4,100,97,58,100,21,70,0,34,21,0,71,1,57,28,11,14,6,4
"842",100,100,53,82,18,57,0,29,14,0,69,1,64,20,12,7,6,4,100,100,53,82,18,57,0,29,14,0,69,1,64,20,12,7,6,4
"843",12,55,0,46,21,6,66,0,100,30,99,73,63,100,18,93,0,10,12,55,0,46,21,6,66,0,100,30,99,73,63,100,18,93,0,10
"844",32,94,0,57,56,47,59,0,17,4,12,64,42,100,100,95,5,7,32,94,0,57,56,47,59,0,17,4,12,64,42,100,100,95,5,7
"845",73,100,35,81,10,51,11,19,59,0,100,19,62,44,0,47,6,4,73,100,35,81,10,51,11,19,59,0,100,19,62,44,0,47,6,4
"846",0,78,40,100,80,86,70,42,40,7,14,0,56,18,100,3,2,2,0,78,40,100,80,86,70,42,40,7,14,0,56,18,100,3,2,2
"847",62,100,37,81,14,55,0,28,55,24,100,45,66,27,58,0,4,6,62,100,37,81,14,55,0,28,55,24,100,45,66,27,58,0,4,6
"848",32,100,12,77,0,48,53,38,100,55,94,57,81,28,65,0,4,6,32,100,12,77,0,48,53,38,100,55,94,57,81,28,65,0,4,6
"849",38,100,14,74,0,46,39,35,93,35,100,53,86,27,70,0,4,6,38,100,14,74,0,46,39,35,93,35,100,53,86,27,70,0,4,6
"850",0,76,42,100,51,91,43,52,46,13,100,7,71,2,31,0,1,9,0,76,42,100,51,91,43,52,46,13,100,7,71,2,31,0,1,9
"851",96,100,0,98,22,54,87,15,51,0,25,39,100,73,38,94,8,8,96,100,0,98,22,54,87,15,51,0,25,39,100,73,38,94,8,8
"852",0,94,50,100,94,100,73,58,60,14,43,0,50,27,100,19,7,2,0,94,50,100,94,100,73,58,60,14,43,0,50,27,100,19,7,2
"853",0,93,53,100,83,84,68,43,55,0,30,22,45,46,100,51,7,2,0,93,53,100,83,84,68,43,55,0,30,22,45,46,100,51,7,2
"854",37,100,48,71,0,44,63,37,100,37,89,63,80,29,74,0,4,6,37,100,48,71,0,44,63,37,100,37,89,63,80,29,74,0,4,6
"855",32,90,0,60,2,17,51,0,95,27,100,69,66,100,25,72,0,5,32,90,0,60,2,17,51,0,95,27,100,69,66,100,25,72,0,5
"856",48,100,18,59,43,74,53,82,41,22,0,0,38,1,100,0,1,2,48,100,18,59,43,74,53,82,41,22,0,0,38,1,100,0,1,2
"857",0,66,54,79,78,100,100,86,98,63,92,42,80,20,90,0,1,3,0,66,54,79,78,100,100,86,98,63,92,42,80,20,90,0,1,3
"858",21,100,0,64,2,23,40,0,86,18,100,56,75,91,30,81,0,5,21,100,0,64,2,23,40,0,86,18,100,56,75,91,30,81,0,5
"859",0,92,42,100,90,100,100,83,71,63,57,40,44,17,14,0,3,3,0,92,42,100,90,100,100,83,71,63,57,40,44,17,14,0,3,3
"860",0,71,20,100,54,91,51,55,29,22,3,0,54,3,100,9,2,2,0,71,20,100,54,91,51,55,29,22,3,0,54,3,100,9,2,2
"861",31,87,57,100,55,65,30,37,0,14,26,9,62,5,100,0,2,2,31,87,57,100,55,65,30,37,0,14,26,9,62,5,100,0,2,2
"862",79,81,57,100,17,82,62,65,99,52,100,16,52,1,0,0,9,9,79,81,57,100,17,82,62,65,99,52,100,16,52,1,0,0,9,9
"863",53,81,86,100,98,69,83,37,52,9,0,3,47,0,100,2,2,2,53,81,86,100,98,69,83,37,52,9,0,3,47,0,100,2,2,2
"864",27,66,53,100,76,77,49,40,9,13,0,15,50,5,100,0,2,2,27,66,53,100,76,77,49,40,9,13,0,15,50,5,100,0,2,2
"865",60,80,12,50,3,0,57,10,97,50,100,100,46,92,0,59,0,10,60,80,12,50,3,0,57,10,97,50,100,100,46,92,0,59,0,10
"866",0,91,36,100,62,83,57,60,70,39,100,22,78,4,39,0,3,9,0,91,36,100,62,83,57,60,70,39,100,22,78,4,39,0,3,9
"867",0,95,62,100,100,82,88,50,79,19,66,0,35,27,99,37,7,2,0,95,62,100,100,82,88,50,79,19,66,0,35,27,99,37,7,2
"868",43,80,28,100,60,73,40,38,0,14,0,3,50,0,100,0,2,2,43,80,28,100,60,73,40,38,0,14,0,3,50,0,100,0,2,2
"869",100,89,52,100,25,71,45,34,38,0,0,17,34,47,76,71,8,8,100,89,52,100,25,71,45,34,38,0,0,17,34,47,76,71,8,8
"870",71,92,48,62,100,82,59,100,87,75,87,47,55,0,0,5,9,9,71,92,48,62,100,82,59,100,87,75,87,47,55,0,0,5,9,9
"871",34,100,15,78,0,43,56,37,100,43,78,70,54,36,41,0,4,6,34,100,15,78,0,43,56,37,100,43,78,70,54,36,41,0,4,6
"872",62,100,27,82,0,51,2,19,51,0,100,18,62,40,20,22,6,4,62,100,27,82,0,51,2,19,51,0,100,18,62,40,20,22,6,4
"873",63,98,95,76,93,100,61,74,100,81,99,33,67,0,0,4,9,9,63,98,95,76,93,100,61,74,100,81,99,33,67,0,0,4,9,9
"874",34,66,65,100,62,99,55,61,44,23,0,0,21,3,100,2,1,2,34,66,65,100,62,99,55,61,44,23,0,0,21,3,100,2,1,2
"875",0,42,42,55,73,77,100,100,81,77,61,52,46,26,39,0,1,3,0,42,42,55,73,77,100,100,81,77,61,52,46,26,39,0,1,3
"876",0,100,28,65,100,79,38,96,58,55,96,44,72,0,11,23,9,9,0,100,28,65,100,79,38,96,58,55,96,44,72,0,11,23,9,9
"877",90,94,13,95,26,56,96,27,52,0,0,26,45,64,100,100,8,8,90,94,13,95,26,56,96,27,52,0,0,26,45,64,100,100,8,8
"878",2,85,0,58,45,34,24,0,7,28,1,69,44,93,100,100,5,7,2,85,0,58,45,34,24,0,7,28,1,69,44,93,100,100,5,7
"879",0,50,13,63,56,83,100,100,94,75,75,50,54,24,31,0,1,3,0,50,13,63,56,83,100,100,94,75,75,50,54,24,31,0,1,3
"880",23,100,15,75,0,40,60,29,94,60,100,70,86,35,78,0,4,6,23,100,15,75,0,40,60,29,94,60,100,70,86,35,78,0,4,6
"881",47,100,11,81,0,39,21,3,62,0,98,22,100,63,61,73,0,5,47,100,11,81,0,39,21,3,62,0,98,22,100,63,61,73,0,5
"882",45,69,58,100,94,83,75,47,39,18,0,0,50,9,100,2,2,2,45,69,58,100,94,83,75,47,39,18,0,0,50,9,100,2,2,2
"883",0,64,37,82,85,99,100,100,85,75,76,50,70,24,67,0,1,3,0,64,37,82,85,99,100,100,85,75,76,50,70,24,67,0,1,3
"884",100,100,55,99,39,73,91,84,86,76,68,47,43,20,0,0,9,9,100,100,55,99,39,73,91,84,86,76,68,47,43,20,0,0,9,9
"885",0,79,27,100,84,99,82,75,84,52,100,28,55,11,2,0,3,9,0,79,27,100,84,99,82,75,84,52,100,28,55,11,2,0,3,9
"886",23,88,68,100,100,84,73,60,82,37,98,12,52,0,0,3,3,9,23,88,68,100,100,84,73,60,82,37,98,12,52,0,0,3,3,9
"887",0,77,33,100,55,71,45,35,14,8,9,19,56,17,100,0,2,2,0,77,33,100,55,71,45,35,14,8,9,19,56,17,100,0,2,2
"888",75,80,93,100,100,81,80,59,66,35,66,9,34,0,0,4,3,9,75,80,93,100,100,81,80,59,66,35,66,9,34,0,0,4,3,9
"889",38,100,20,75,0,47,56,35,100,50,80,56,61,28,43,0,4,6,38,100,20,75,0,47,56,35,100,50,80,56,61,28,43,0,4,6
"890",0,87,46,100,88,85,73,43,65,0,36,18,46,42,100,50,7,2,0,87,46,100,88,85,73,43,65,0,36,18,46,42,100,50,7,2
"891",24,91,67,100,61,65,36,33,0,6,0,13,50,3,100,0,2,2,24,91,67,100,61,65,36,33,0,6,0,13,50,3,100,0,2,2
"892",100,52,40,48,0,71,26,100,78,91,88,57,73,22,33,0,9,6,100,52,40,48,0,71,26,100,78,91,88,57,73,22,33,0,9,6
"893",4,80,50,100,100,91,71,60,46,44,89,25,51,0,0,6,3,9,4,80,50,100,100,91,71,60,46,44,89,25,51,0,0,6,3,9
"894",87,100,51,81,0,45,74,46,100,66,89,90,78,44,60,0,4,6,87,100,51,81,0,45,74,46,100,66,89,90,78,44,60,0,4,6
"895",18,99,6,51,22,6,69,0,100,37,90,83,44,100,0,80,0,10,18,99,6,51,22,6,69,0,100,37,90,83,44,100,0,80,0,10
"896",27,82,5,39,30,0,80,15,100,59,74,100,23,95,0,53,0,10,27,82,5,39,30,0,80,15,100,59,74,100,23,95,0,53,0,10
"897",0,90,37,98,89,100,67,52,50,0,33,18,48,40,100,47,7,2,0,90,37,98,89,100,67,52,50,0,33,18,48,40,100,47,7,2
"898",32,87,74,100,82,75,45,53,87,43,100,18,54,0,0,3,3,9,32,87,74,100,82,75,45,53,87,43,100,18,54,0,0,3,3,9
"899",0,82,43,100,100,94,90,65,55,41,13,18,28,1,92,0,2,2,0,82,43,100,100,94,90,65,55,41,13,18,28,1,92,0,2,2
"900",14,66,23,100,41,74,24,34,0,0,22,15,61,9,100,3,2,2,14,66,23,100,41,74,24,34,0,0,22,15,61,9,100,3,2,2
"901",66,90,6,55,100,73,45,100,33,46,0,0,89,11,13,23,8,9,66,90,6,55,100,73,45,100,33,46,0,0,89,11,13,23,8,9
"902",64,92,100,100,85,98,47,80,70,54,82,18,43,0,0,13,5,9,64,92,100,100,85,98,47,80,70,54,82,18,43,0,0,13,5,9
"903",96,85,31,100,44,64,96,27,37,0,0,31,72,62,100,91,8,8,96,85,31,100,44,64,96,27,37,0,0,31,72,62,100,91,8,8
"904",0,60,42,80,90,100,100,97,84,72,68,47,55,22,45,0,1,3,0,60,42,80,90,100,100,97,84,72,68,47,55,22,45,0,1,3
"905",40,100,0,60,20,21,86,14,100,40,75,86,61,50,59,0,4,6,40,100,0,60,20,21,86,14,100,40,75,86,61,50,59,0,4,6
"906",59,90,16,88,0,41,25,0,77,10,100,55,82,100,35,94,0,5,59,90,16,88,0,41,25,0,77,10,100,55,82,100,35,94,0,5
"907",16,100,11,71,5,39,29,11,85,11,100,28,46,18,0,0,6,6,16,100,11,71,5,39,29,11,85,11,100,28,46,18,0,0,6,6
"908",36,100,19,61,0,27,80,28,100,52,73,90,70,45,69,0,4,6,36,100,19,61,0,27,80,28,100,52,73,90,70,45,69,0,4,6
"909",56,76,75,100,91,67,68,33,28,10,0,17,51,14,100,0,2,2,56,76,75,100,91,67,68,33,28,10,0,17,51,14,100,0,2,2
"910",0,77,13,100,57,99,60,64,38,30,11,2,57,0,100,6,2,2,0,77,13,100,57,99,60,64,38,30,11,2,57,0,100,6,2,2
"911",0,99,56,100,72,80,54,41,49,0,22,18,41,36,100,39,7,2,0,99,56,100,72,80,54,41,49,0,22,18,41,36,100,39,7,2
"912",30,100,19,80,0,53,11,32,74,40,100,56,89,28,85,0,4,6,30,100,19,80,0,53,11,32,74,40,100,56,89,28,85,0,4,6
"913",32,99,35,63,56,21,17,0,0,36,12,82,54,100,100,83,5,7,32,99,35,63,56,21,17,0,0,36,12,82,54,100,100,83,5,7
"914",51,100,93,95,64,73,70,61,100,39,82,12,38,0,0,7,3,9,51,100,93,95,64,73,70,61,100,39,82,12,38,0,0,7,3,9
"915",0,94,61,100,100,77,83,44,58,13,44,0,25,29,97,36,7,2,0,94,61,100,100,77,83,44,58,13,44,0,25,29,97,36,7,2
"916",0,68,27,100,73,93,73,52,54,12,50,0,49,34,100,38,7,2,0,68,27,100,73,93,73,52,54,12,50,0,49,34,100,38,7,2
"917",6,80,45,100,59,70,37,39,3,13,0,9,52,5,100,0,2,2,6,80,45,100,59,70,37,39,3,13,0,9,52,5,100,0,2,2
"918",76,95,23,100,36,60,68,22,23,0,0,33,46,65,100,94,8,8,76,95,23,100,36,60,68,22,23,0,0,33,46,65,100,94,8,8
"919",0,51,24,64,66,85,100,100,72,75,47,51,26,25,11,0,1,3,0,51,24,64,66,85,100,100,72,75,47,51,26,25,11,0,1,3
"920",29,71,55,100,74,75,59,39,30,9,0,8,49,0,100,2,2,2,29,71,55,100,74,75,59,39,30,9,0,8,49,0,100,2,2,2
